 ,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2022-08-05T00:00:00+0000,41.06,41.06,41.06,,
2022-08-04T23:00:00+0000,41.065,41.065,41.065,,
2022-08-04T22:00:00+0000,41.095,41.095,41.07,,
2022-08-04T21:00:00+0000,41.04,41.04,41.04,,
2022-08-04T20:00:00+0000,41.025,41.025,41.025,,
2022-08-04T19:00:00+0000,40.92,40.96,40.92,,
2022-08-04T18:00:00+0000,40.99,41.23,40.555,41.0,217529.0
2022-08-04T15:00:00+0000,40.99,41.12,40.555,41.0,126356.0
2022-08-04T14:00:00+0000,40.99,41.12,40.88,41.0,29647.0
2022-08-05T00:00:00+0000,41.06,41.06,41.06,,
2022-08-04T23:00:00+0000,41.065,41.065,41.065,,
2022-08-04T22:00:00+0000,41.095,41.095,41.07,,
2022-08-04T21:00:00+0000,41.04,41.04,41.04,,
2022-08-04T20:00:00+0000,41.025,41.025,41.025,,
2022-08-04T19:00:00+0000,40.92,40.96,40.92,,
2022-08-04T18:00:00+0000,40.99,41.23,40.555,41.0,217529.0
2022-08-04T15:00:00+0000,40.99,41.12,40.555,41.0,126356.0
2022-08-04T14:00:00+0000,40.99,41.12,40.88,41.0,29647.0
2022-08-05T00:00:00+0000,41.06,41.06,41.06,,
2022-08-04T23:00:00+0000,41.065,41.065,41.065,,
2022-08-04T22:00:00+0000,41.095,41.095,41.07,,
2022-08-04T21:00:00+0000,41.04,41.04,41.04,,
2022-08-04T20:00:00+0000,41.025,41.025,41.025,,
2022-08-04T19:00:00+0000,40.92,40.96,40.92,,
2022-08-04T18:00:00+0000,40.99,41.23,40.555,41.0,217529.0
2022-08-04T15:00:00+0000,40.99,41.12,40.555,41.0,126356.0
2022-08-04T14:00:00+0000,40.99,41.12,40.88,41.0,29647.0
2022-08-17T00:00:00+0000,44.42,44.42,44.42,,
2022-08-16T23:00:00+0000,44.68,44.68,44.64,,
2022-08-16T22:00:00+0000,44.755,44.765,44.745,,
2022-08-16T21:00:00+0000,44.7,44.715,44.7,,
2022-08-16T20:00:00+0000,44.865,44.91,44.865,,
2022-08-16T19:00:00+0000,44.4,44.99,44.25,44.5,171139.0
2022-08-16T18:00:00+0000,44.4,44.99,44.25,44.5,132758.0
2022-08-16T17:00:00+0000,44.4,44.99,44.25,44.5,105293.0
2022-08-16T16:00:00+0000,44.4,44.875,44.25,44.5,59421.0
